sn2025_kode,sn2025_navn,sn2007_kode,sn2007_navn
28.960,Produksjon av maskiner og utstyr til plast- og gummiindustri,28.960,Produksjon av maskiner og utstyr til plast- og gummiindustri
28.970,Produksjon av maskiner og utstyr til additiv tilvirkning,28.960,Produksjon av maskiner og utstyr til plast- og gummiindustri
28.970,Produksjon av maskiner og utstyr til additiv tilvirkning,28.990,Produksjon av spesialmaskiner ikke nevnt annet sted
28.990,Produksjon av andre spesialmaskiner ikke nevnt annet sted,28.990,Produksjon av spesialmaskiner ikke nevnt annet sted
29.100,Produksjon av motorvogner,27.110,"Produksjon av elektromotorer, generatorer og transformatorer"
29.100,Produksjon av motorvogner,29.100,Produksjon av motorvogner
29.310,Produksjon av elektrisk og elektronisk utstyr til motorvogner,27.900,Produksjon av annet elektrisk utstyr
29.310,Produksjon av elektrisk og elektronisk utstyr til motorvogner,29.310,Produksjon av elektrisk og elektronisk utstyr til motorvogner
29.320,Produksjon av andre deler og annet utstyr til motorvogner,23.120,Bearbeiding av planglass
29.320,Produksjon av andre deler og annet utstyr til motorvogner,28.110,"Produksjon av motorer og turbiner, unntatt motorer til luftfartøyer og motorvogner"
29.320,Produksjon av andre deler og annet utstyr til motorvogner,28.250,"Produksjon av kjøle- og ventilasjonsanlegg, unntatt til husholdningsbruk"
29.320,Produksjon av andre deler og annet utstyr til motorvogner,29.320,Produksjon av andre deler og annet utstyr til motorvogner
30.110,Bygging av sivile skip og flytende materiell,30.111,Bygging av skip og skrog over 100 br.tonn
30.110,Bygging av sivile skip og flytende materiell,30.112,Bygging av skip under 100 br.tonn
30.110,Bygging av sivile skip og flytende materiell,30.113,Bygging av oljeplattformer og moduler
30.110,Bygging av sivile skip og flytende materiell,30.114,Produksjon av annet flytende materiell
30.110,Bygging av sivile skip og flytende materiell,30.115,Innrednings- og installasjonsarbeid utført på skip over 100 br.tonn
30.110,Bygging av sivile skip og flytende materiell,30.116,Innrednings- og installasjonsarbeid utført på oljeplattformer og moduler
30.130,Bygging av militære skip og fartøy,30.111,Bygging av skip og skrog over 100 br.tonn
