etikett,selskaper,forste_dato,siste_dato,selsk_for_som,selsk_etter_som,vintage,metode,sn2007_kode,sn2007_navn,sn2025_kode,sn2025_navn,kanonisk_sn2007,kanonisk_navn,kanonisk_kilde,er_bygg_sn2007,er_bygg_sn2025,selskapstekst_kode
Oppføring av bygninger,1470,2018-10-19,2026-08-24,1169,301,begge,T1,41.200,Oppføring av bygninger,41.000,Oppføring av bygninger,41.200,Oppføring av bygninger,direkte,true,true,41.000
Drift av restauranter og kafeer,834,2019-10-22,2025-08-27,834,0,SN2007,T1,56.101,Drift av restauranter og kafeer,,,56.101,Drift av restauranter og kafeer,direkte,false,,
Snekkerarbeid,411,2021-02-10,2026-08-18,321,90,begge,T1,43.320,Snekkerarbeid,43.320,Snekkerarbeid,43.320,Snekkerarbeid,direkte,true,true,43.320
Godstransport på vei,384,2019-05-28,2026-08-17,282,102,begge,T1,49.410,Godstransport på vei,49.410,Godstransport på vei,49.410,Godstransport på vei,direkte,false,false,49.410
Grunnarbeid,333,2020-01-10,2026-08-24,242,91,begge,T1,43.120,Grunnarbeid,43.120,Grunnarbeid,43.120,Grunnarbeid,direkte,true,true,43.120
Drift av restauranter,309,2025-09-02,2026-08-24,0,309,SN2025,T2,,,56.110,Drift av restauranter,56.101|56.102,Drift av restauranter og kafeer | Drift av gatekjøkken,korrespondanse-1tilmange,false,false,56.110
Utleie av egen eller leid fast eiendom ellers,308,2017-12-20,2025-08-29,308,0,SN2007,T1,68.209,Utleie av egen eller leid fast eiendom ellers,,,68.209,Utleie av egen eller leid fast eiendom ellers,direkte,false,,
Utvikling og salg av egen fast eiendom ellers,296,2019-02-19,2025-08-29,296,0,SN2007,T1,41.109,Utvikling og salg av egen fast eiendom ellers,,,41.109,Utvikling og salg av egen fast eiendom ellers,direkte,true,,
Uoppgitt,290,2021-04-15,2026-08-24,191,99,begge,T4,,,00.000,Uoppgitt,,,,,false,00.000
Bedriftsrådgivning og annen administrativ rådgivning,273,2021-09-10,2026-08-17,186,87,begge,T1,70.220,Bedriftsrådgivning og annen administrativ rådgivning,70.200,Bedriftsrådgivning og annen administrativ rådgivning,70.220,Bedriftsrådgivning og annen administrativ rådgivning,direkte,false,false,70.200
Annen teknisk konsulentvirksomhet,267,2019-11-28,2026-08-21,205,62,begge,T1,71.129,Annen teknisk konsulentvirksomhet,71.129,Annen teknisk konsulentvirksomhet,71.129,Annen teknisk konsulentvirksomhet,direkte,false,false,71.129
Programmeringstjenester,202,2021-06-16,2025-08-27,202,0,SN2007,T1,62.010,Programmeringstjenester,,,62.010,Programmeringstjenester,direkte,false,,
Annen spesialisert bygge- og anleggsvirksomhet,189,2017-05-15,2025-08-26,189,0,SN2007,T1,43.990,Annen spesialisert bygge- og anleggsvirksomhet,,,43.990,Annen spesialisert bygge- og anleggsvirksomhet,direkte,true,,
Kjøp og salg av egen fast eiendom,176,2019-02-06,2026-08-21,119,57,begge,T1,68.100,Kjøp og salg av egen fast eiendom,68.110,Kjøp og salg av egen fast eiendom,68.100,Kjøp og salg av egen fast eiendom,direkte,false,false,68.110
Frisering og annen skjønnhetspleie,174,2022-08-19,2025-08-27,174,0,SN2007,T1,96.020,Frisering og annen skjønnhetspleie,,,96.020,Frisering og annen skjønnhetspleie,direkte,false,,
Rørleggerarbeid,170,2019-11-19,2026-08-21,152,18,begge,T1,43.221,Rørleggerarbeid,43.221,Rørleggerarbeid,43.221,Rørleggerarbeid,direkte,true,true,43.221
Butikkhandel med klær,165,2020-03-10,2025-08-21,165,0,SN2007,T1,47.710,Butikkhandel med klær,,,47.710,Butikkhandel med klær,direkte,false,,
"Vedlikehold og reparasjon av motorvogner, unntatt motorsykle",159,2022-02-14,2025-08-19,159,0,SN2007,T1,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",,,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",direkte,false,,
Elektrisk installasjonsarbeid,144,2019-10-28,2026-08-04,102,42,begge,T1,43.210,Elektrisk installasjonsarbeid,43.210,Elektrisk installasjonsarbeid,43.210,Elektrisk installasjonsarbeid,direkte,true,true,43.210
Rengjøring av bygninger,137,2020-03-10,2026-08-17,95,42,begge,T1,81.210,Rengjøring av bygninger,81.210,Rengjøring av bygninger,81.210,Rengjøring av bygninger,direkte,false,false,81.210
Utleie av egen eller leid fast eiendom,134,2025-09-01,2026-08-24,0,134,SN2025,T2,,,68.200,Utleie av egen eller leid fast eiendom,68.209,Utleie av egen eller leid fast eiendom ellers,korrespondanse-1til1,false,false,68.200
Drift av gatekjøkken,133,2020-04-17,2025-08-21,133,0,SN2007,T1,56.102,Drift av gatekjøkken,,,56.102,Drift av gatekjøkken,direkte,false,,
Malerarbeid,123,2022-03-01,2025-08-14,123,0,SN2007,T1,43.341,Malerarbeid,,,43.341,Malerarbeid,direkte,true,,43.341
Butikkhandel med bredt vareutvalg med hovedvekt på nærings-,114,2021-11-05,2025-08-19,114,0,SN2007,T1,47.111,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,47.111,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,direkte,false,,
"Detaljhandel med biler og lette motorvogner, unntatt motorsy",107,2021-07-08,2025-08-20,107,0,SN2007,T1,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",,,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",direkte,false,,
Utvikling og salg av byggeprosjekter,102,2025-09-08,2026-08-24,0,102,SN2025,T2,,,68.120,Utvikling og salg av byggeprosjekter,41.101|41.109|42.990,Boligbyggelag | Utvikling og salg av egen fast eiendom ellers | Bygging av andre anlegg ikke nevnt annet sted,korrespondanse-1tilmange,true,false,68.120
Byggeteknisk konsulentvirksomhet,98,2021-01-11,2026-06-22,68,30,begge,T1,71.121,Byggeteknisk konsulentvirksomhet,71.121,Byggeteknisk konsulentvirksomhet,71.121,Byggeteknisk konsulentvirksomhet,direkte,false,false,71.121
Postordre-/Internetthandel med annet spesialisert vareutvalg,95,2020-07-06,2025-08-15,95,0,SN2007,T1,47.919,Postordre-/Internetthandel med annet spesialisert vareutvalg,,,47.919,Postordre-/Internetthandel med annet spesialisert vareutvalg,direkte,false,,
Reklamebyråer,89,2022-09-02,2025-08-13,89,0,SN2007,T1,73.110,Reklamebyråer,,,73.110,Reklamebyråer,direkte,false,,
Andre post- og budtjenester,85,2021-10-05,2026-08-21,63,22,begge,T1,53.200,Andre post- og budtjenester,53.200,Andre post- og budtjenester,53.200,Andre post- og budtjenester,direkte,false,false,53.200
Utleie av arbeidskraft,83,2019-10-23,2025-08-19,83,0,SN2007,T1,78.200,Utleie av arbeidskraft,,,78.200,Utleie av arbeidskraft,direkte,false,,
Konsulentvirksomhet tilknyttet informasjonsteknologi,77,2022-08-23,2025-08-28,77,0,SN2007,T1,62.020,Konsulentvirksomhet tilknyttet informasjonsteknologi,,,62.020,Konsulentvirksomhet tilknyttet informasjonsteknologi,direkte,false,,
Dataprogrammeringstjenester,71,2025-09-01,2026-08-24,0,71,SN2025,T2,,,62.100,Dataprogrammeringstjenester,62.010,Programmeringstjenester,korrespondanse-1til1,false,false,62.100
Cateringvirksomhet,61,2022-01-26,2025-08-18,61,0,SN2007,T1,56.210,Cateringvirksomhet,,,56.210,Cateringvirksomhet,direkte,false,,
"Industridesign, produktdesign og annen teknisk designvirksom",60,2021-08-12,2025-08-28,60,0,SN2007,T1,74.101,"Industridesign, produktdesign og annen teknisk designvirksomhet",,,74.101,"Industridesign, produktdesign og annen teknisk designvirksomhet",direkte,false,,
Detaljhandel med drivstoff til motorvogner,57,2022-04-06,2026-03-13,46,11,begge,T1,47.300,Detaljhandel med drivstoff til motorvogner,47.300,Detaljhandel med drivstoff til motorvogner,47.300,Detaljhandel med drivstoff til motorvogner,direkte,false,false,47.300
Detaljhandel med klær,56,2025-09-01,2026-08-19,0,56,SN2025,T2,,,47.710,Detaljhandel med klær,47.710|47.820|47.912|47.990,"Butikkhandel med klær | Torghandel med tekstiler, klær, skotøy og utstyrsvarer | Postordre-/Internetthandel med tekstiler, utstyrsvarer, klær, skotøy, reiseeffekter og lærvarer | Detaljhandel utenom utsalgssted ellers",korrespondanse-1tilmange,false,false,47.710
"Produksjon av film, video og fjernsynsprogrammer",56,2022-04-29,2026-08-21,38,18,begge,T1,59.110,"Produksjon av film, video og fjernsynsprogrammer",59.110,"Produksjon av film, video og fjernsynsprogrammer",59.110,"Produksjon av film, video og fjernsynsprogrammer",direkte,false,false,59.110
Engroshandel med byggevarer ikke nevnt annet sted,56,2021-12-10,2025-07-08,56,0,SN2007,T1,46.739,Engroshandel med byggevarer ikke nevnt annet sted,,,46.739,Engroshandel med byggevarer ikke nevnt annet sted,direkte,false,,
Drift av puber,55,2022-09-28,2025-08-29,55,0,SN2007,T1,56.301,Drift av puber,,,56.301,Drift av puber,direkte,false,,
Detaljhandel utenom utsalgssted ellers,55,2023-01-19,2025-08-07,55,0,SN2007,T1,47.990,Detaljhandel utenom utsalgssted ellers,,,47.990,Detaljhandel utenom utsalgssted ellers,direkte,false,,
Produksjon av brød og ferske konditorvarer,53,2021-08-25,2026-06-04,39,14,begge,T1,10.710,Produksjon av brød og ferske konditorvarer,10.710,Produksjon av brød og ferske konditorvarer,10.710,Produksjon av brød og ferske konditorvarer,direkte,false,false,10.710
Butikkhandel med blomster og planter,51,2022-10-25,2025-06-30,51,0,SN2007,T1,47.761,Butikkhandel med blomster og planter,,,47.761,Butikkhandel med blomster og planter,direkte,false,,
Hav- og kystfiske,49,2021-09-06,2025-08-27,49,0,SN2007,T1,03.111,Hav- og kystfiske,,,03.111,Hav- og kystfiske,direkte,false,,
VVS-arbeid,48,2025-09-02,2026-04-13,0,48,SN2025,T3,43.22,VVS-arbeid,,,43.22,VVS-arbeid,direkte,true,,43.220
Reparasjon og vedlikehold av motorvogner,47,2025-09-05,2026-08-21,0,47,SN2025,T2,,,95.310,Reparasjon og vedlikehold av motorvogner,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",korrespondanse-1til1,false,false,95.310
Gulvlegging og tapetsering,46,2022-09-14,2026-08-17,35,11,begge,T1,43.330,Gulvlegging og tapetsering,43.330,Gulvlegging og tapetsering,43.330,Gulvlegging og tapetsering,direkte,true,true,43.330
Butikkhandel med innredningsartikler ikke nevnt annet sted,45,2020-04-27,2025-08-26,45,0,SN2007,T1,47.599,Butikkhandel med innredningsartikler ikke nevnt annet sted,,,47.599,Butikkhandel med innredningsartikler ikke nevnt annet sted,direkte,false,,
Vaktmestertjenester,44,2022-02-17,2025-07-10,44,0,SN2007,T1,81.101,Vaktmestertjenester,,,81.101,Vaktmestertjenester,direkte,false,,
"Postordre-/Internetthandel med tekstiler, utstyrsvarer, klær",42,2022-09-14,2025-08-07,42,0,SN2007,T1,47.912,"Postordre-/Internetthandel med tekstiler, utstyrsvarer, klær, skotøy, reiseeffekter og lærvarer",,,47.912,"Postordre-/Internetthandel med tekstiler, utstyrsvarer, klær, skotøy, reiseeffekter og lærvarer",direkte,false,,
Frisering og barbering,42,2025-09-05,2026-08-13,0,42,SN2025,T2,,,96.210,Frisering og barbering,96.020,Frisering og annen skjønnhetspleie,korrespondanse-1til1,false,false,96.210
Detaljhandel med motorvogner,41,2025-09-08,2026-08-10,0,41,SN2025,T2,,,47.810,Detaljhandel med motorvogner,45.112|45.192,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler | Detaljhandel med andre motorvogner, unntatt motorsykler",korrespondanse-1tilmange,false,false,47.810
Bearbeiding av metaller,39,2021-09-29,2026-08-20,29,10,begge,T1,25.620,Bearbeiding av metaller,25.530,Bearbeiding av metaller,25.620,Bearbeiding av metaller,direkte,false,false,25.530
Annen undervisning ikke nevnt annet sted,39,2021-08-18,2025-08-14,39,0,SN2007,T1,85.599,Annen undervisning ikke nevnt annet sted,,,85.599,Annen undervisning ikke nevnt annet sted,direkte,false,,
Detaljhandel med bredt vareutvalg med hovedvekt på nærings-,39,2025-09-02,2026-08-24,0,39,SN2025,T2,,,47.110,Detaljhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,47.111|47.112|47.810|47.911|47.990,"Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler | Kioskhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler | Torghandel med næringsmidler, drikkevarer og tobakksvarer | Postordre-/Internetthandel med bredt vareutvalg | Detaljhandel utenom utsalgssted ellers",korrespondanse-1tilmange,false,false,47.110
Utleie og leasing av biler og andre lette motorvogner,38,2019-11-07,2026-07-22,28,10,begge,T1,77.110,Utleie og leasing av biler og andre lette motorvogner,77.110,Utleie og leasing av biler og andre lette motorvogner,77.110,Utleie og leasing av biler og andre lette motorvogner,direkte,false,false,77.110
Flyttetransport,38,2022-01-25,2026-08-05,29,9,begge,T1,49.420,Flyttetransport,49.420,Flyttetransport,49.420,Flyttetransport,direkte,false,false,49.420
Rekruttering og formidling av arbeidskraft,38,2022-04-25,2026-07-14,29,9,begge,T1,78.100,Rekruttering og formidling av arbeidskraft,78.100,Rekruttering og formidling av arbeidskraft,78.100,Rekruttering og formidling av arbeidskraft,direkte,false,false,78.100
Maler- og glassarbeid,38,2025-09-03,2026-08-18,0,38,SN2025,T2,,,43.340,Maler- og glassarbeid,43.341|43.342|43.390,Malerarbeid | Glassarbeid | Annen ferdiggjøring av bygninger,korrespondanse-1tilmange,true,true,43.340
"Drift av hoteller, pensjonater og moteller med restaurant",38,2020-01-02,2025-07-03,38,0,SN2007,T1,55.101,"Drift av hoteller, pensjonater og moteller med restaurant",,,55.101,"Drift av hoteller, pensjonater og moteller med restaurant",direkte,false,,
Telefonsalg,38,2020-10-16,2025-07-22,38,0,SN2007,T1,82.202,Telefonsalg,,,82.202,Telefonsalg,direkte,false,,
Utleie og leasing av bygge- og anleggsmaskiner og -utstyr,37,2022-08-15,2026-07-09,29,8,begge,T1,77.320,Utleie og leasing av bygge- og anleggsmaskiner og -utstyr,77.320,Utleie og leasing av bygge- og anleggsmaskiner og -utstyr,77.320,Utleie og leasing av bygge- og anleggsmaskiner og -utstyr,direkte,false,false,77.320
Konsulentvirksomhet tilknyttet informasjonsteknologi og forv,37,2025-09-15,2026-07-13,0,37,SN2025,T2,,,62.200,Konsulentvirksomhet tilknyttet informasjonsteknologi og forvaltning og drift av IT-systemer,62.020|62.030,Konsulentvirksomhet tilknyttet informasjonsteknologi | Forvaltning og drift av IT-systemer,korrespondanse-1tilmange,false,false,62.200
Drift av web-portaler,36,2022-09-01,2025-07-29,36,0,SN2007,T1,63.120,Drift av web-portaler,,,63.120,Drift av web-portaler,direkte,false,,
Butikkhandel ikke nevnt annet sted,36,2019-09-03,2025-07-02,36,0,SN2007,T1,47.789,Butikkhandel ikke nevnt annet sted,,,47.789,Butikkhandel ikke nevnt annet sted,direkte,false,,
Butikkhandel med møbler,36,2022-07-22,2025-08-29,36,0,SN2007,T1,47.591,Butikkhandel med møbler,,,47.591,Butikkhandel med møbler,direkte,false,,
Tjenester tilknyttet underholdningsvirksomhet,36,2022-02-17,2025-07-03,36,0,SN2007,T1,90.020,Tjenester tilknyttet underholdningsvirksomhet,,,90.020,Tjenester tilknyttet underholdningsvirksomhet,direkte,false,,
Andre helsetjenester,35,2022-06-01,2025-08-28,35,0,SN2007,T1,86.909,Andre helsetjenester,,,86.909,Andre helsetjenester,direkte,false,,
Kioskhandel med bredt vareutvalg med hovedvekt på nærings- o,35,2018-10-16,2025-07-01,35,0,SN2007,T1,47.112,Kioskhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,47.112,Kioskhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,direkte,false,,
Butikkhandel med sportsutstyr,35,2020-02-03,2025-08-27,35,0,SN2007,T1,47.641,Butikkhandel med sportsutstyr,,,47.641,Butikkhandel med sportsutstyr,direkte,false,,
Drift av barer,34,2025-09-03,2026-08-19,0,34,SN2025,T2,,,56.300,Drift av barer,56.301|56.309,Drift av puber | Drift av barer ellers,korrespondanse-1tilmange,false,false,56.300
Reklamebyråvirksomhet,34,2025-09-19,2026-08-05,0,34,SN2025,T2,,,73.110,Reklamebyråvirksomhet,73.110,Reklamebyråer,korrespondanse-1til1,false,false,73.110
"Engroshandel med maskiner og utstyr til handel, transport og",33,2021-12-10,2025-08-15,33,0,SN2007,T1,46.694,"Engroshandel med maskiner og utstyr til handel, transport og tjenesteyting ellers",,,46.694,"Engroshandel med maskiner og utstyr til handel, transport og tjenesteyting ellers",direkte,false,,
Virksomhet knyttet til kroppspleie og fysisk velvære,32,2021-06-22,2025-08-14,32,0,SN2007,T1,96.040,Virksomhet knyttet til kroppspleie og fysisk velvære,,,96.040,Virksomhet knyttet til kroppspleie og fysisk velvære,direkte,false,,
Drosjebiltransport,32,2020-03-13,2025-08-27,32,0,SN2007,T1,49.320,Drosjebiltransport,,,49.320,Drosjebiltransport,direkte,false,,
Engroshandel med bredt utvalg av nærings- og nytelsesmidler,31,2021-12-10,2026-06-29,23,8,begge,T1,46.390,Engroshandel med bredt utvalg av nærings- og nytelsesmidler,46.390,Engroshandel med bredt utvalg av nærings- og nytelsesmidler,46.390,Engroshandel med bredt utvalg av nærings- og nytelsesmidler,direkte,false,false,46.390
Reparasjon og vedlikehold av skip og båter,31,2022-10-20,2025-06-13,31,0,SN2007,T1,33.150,Reparasjon og vedlikehold av skip og båter,,,33.150,Reparasjon og vedlikehold av skip og båter,direkte,false,,
Utleie og leasing av andre maskiner og annet utstyr og mater,30,2021-07-05,2026-05-21,24,6,begge,T1,77.390,Utleie og leasing av andre maskiner og annet utstyr og materiell ikke nevnt annet sted,77.390,Utleie og leasing av andre maskiner og annet utstyr og materiell ikke nevnt annet sted,77.390,Utleie og leasing av andre maskiner og annet utstyr og materiell ikke nevnt annet sted,direkte,false,false,77.390
"Interiørarkitekt, interiørdesign og interiørkonsulentvirksom",29,2022-11-02,2025-08-06,29,0,SN2007,,,,,,,,,,,
Eiendomsmegling,29,2019-09-10,2025-08-22,29,0,SN2007,T1,68.310,Eiendomsmegling,,,68.310,Eiendomsmegling,direkte,false,,
Fotografvirksomhet,29,2023-03-21,2026-06-30,21,8,begge,T1,74.200,Fotografvirksomhet,74.200,Fotografvirksomhet,74.200,Fotografvirksomhet,direkte,false,false,74.200
Beplantning av hager og parkanlegg,29,2021-08-31,2026-04-14,23,6,begge,T1,81.300,Beplantning av hager og parkanlegg,81.300,Beplantning av hager og parkanlegg,81.300,Beplantning av hager og parkanlegg,direkte,false,false,81.300
Ventilasjonsarbeid,28,2020-08-24,2026-04-27,26,2,begge,T1,43.223,Ventilasjonsarbeid,43.223,Ventilasjonsarbeid,43.223,Ventilasjonsarbeid,direkte,true,true,43.223
"Opplevelses-, arrangements- og aktivitetsarrangørvirksomhet",28,2023-03-07,2025-07-16,28,0,SN2007,T1,79.903,"Opplevelses-, arrangements- og aktivitetsarrangørvirksomhet",,,79.903,"Opplevelses-, arrangements- og aktivitetsarrangørvirksomhet",direkte,false,,
Produksjon av bygningsartikler,27,2022-01-21,2025-06-24,27,0,SN2007,T1,16.232,Produksjon av bygningsartikler,,,16.232,Produksjon av bygningsartikler,direkte,false,,
Drift av idrettsanlegg,27,2021-10-13,2025-10-17,25,2,begge,T1,93.110,Drift av idrettsanlegg,93.110,Drift av idrettsanlegg,93.110,Drift av idrettsanlegg,direkte,false,false,93.110
Takarbeid ellers,26,2022-01-25,2025-07-11,26,0,SN2007,T1,43.919,Takarbeid ellers,,,43.919,Takarbeid ellers,direkte,true,,
Annen forskning og annet utviklingsarbeid innen naturvitensk,26,2016-10-27,2025-08-26,26,0,SN2007,T1,72.190,Annen forskning og annet utviklingsarbeid innen naturvitenskap og teknikk,,,72.190,Annen forskning og annet utviklingsarbeid innen naturvitenskap og teknikk,direkte,false,,
Butikkhandel med spill og leker,26,2019-01-24,2025-08-19,26,0,SN2007,T1,47.650,Butikkhandel med spill og leker,,,47.650,Butikkhandel med spill og leker,direkte,false,,
Passasjertransport på forespørsel utført av fører med kjøret,26,2025-09-01,2026-06-08,0,26,SN2025,T2,,,49.330,Passasjertransport på forespørsel utført av fører med kjøretøy,49.320,Drosjebiltransport,korrespondanse-1til1,false,false,49.330
Catering for arrangementer,26,2025-09-18,2026-07-21,0,26,SN2025,T2,,,56.210,Catering for arrangementer,56.210,Cateringvirksomhet,korrespondanse-1til1,false,false,56.210
Andre tjenester tilknyttet kunstnerisk virksomhet og underho,26,2025-09-03,2026-08-20,0,26,SN2025,T2,,,90.390,Andre tjenester tilknyttet kunstnerisk virksomhet og underholdningsvirksomhet,90.020,Tjenester tilknyttet underholdningsvirksomhet,korrespondanse-1til1,false,false,90.390
"Annen faglig, vitenskapelig og teknisk virksomhet ikke nevnt",25,2022-09-12,2025-08-21,25,0,SN2007,T1,74.909,"Annen faglig, vitenskapelig og teknisk virksomhet ikke nevnt annet sted",,,74.909,"Annen faglig, vitenskapelig og teknisk virksomhet ikke nevnt annet sted",direkte,false,,
Reparasjon av maskiner,25,2022-02-01,2025-07-04,25,0,SN2007,T1,33.120,Reparasjon av maskiner,,,33.120,Reparasjon av maskiner,direkte,false,,
"Engroshandel med tømmer, trelast, byggevarer og sanitærutsty",25,2025-09-10,2026-08-13,0,25,SN2025,T2,,,46.830,"Engroshandel med tømmer, trelast, byggevarer og sanitærutstyr",46.731|46.732|46.733|46.739,Engroshandel med tømmer | Engroshandel med trelast | Engroshandel med fargevarer | Engroshandel med byggevarer ikke nevnt annet sted,korrespondanse-1tilmange,false,false,46.830
Annen forretningsmessig tjenesteyting ikke nevnt annet sted,25,2022-07-13,2026-07-01,22,3,begge,T1,82.990,Annen forretningsmessig tjenesteyting ikke nevnt annet sted,82.990,Annen forretningsmessig tjenesteyting ikke nevnt annet sted,82.990,Annen forretningsmessig tjenesteyting ikke nevnt annet sted,direkte,false,false,82.990
Treningssentre,23,2021-02-02,2025-07-10,23,0,SN2007,T1,93.130,Treningssentre,,,93.130,Treningssentre,direkte,false,,
Arkitekttjenester vedrørende byggverk,23,2021-05-03,2025-07-09,23,0,SN2007,T1,71.112,Arkitekttjenester vedrørende byggverk,,,71.112,Arkitekttjenester vedrørende byggverk,direkte,false,,
Kuldeanlegg- og varmepumpearbeid,23,2021-11-15,2025-08-25,23,0,SN2007,T1,43.222,Kuldeanlegg- og varmepumpearbeid,,,43.222,Kuldeanlegg- og varmepumpearbeid,direkte,true,,
Uspesifisert engroshandel,23,2023-06-13,2026-07-13,15,8,begge,T1,46.900,Uspesifisert engroshandel,46.900,Uspesifisert engroshandel,46.900,Uspesifisert engroshandel,direkte,false,false,46.900
"Detaljhandel med deler og utstyr til motorvogner, unntatt mo",23,2022-10-05,2025-08-22,23,0,SN2007,T1,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",,,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",direkte,false,,
Engroshandel med spesialisert utvalg av nærings- og nytelses,23,2022-06-14,2025-07-07,23,0,SN2007,T1,46.389,Engroshandel med spesialisert utvalg av nærings- og nytelsesmidler ikke nevnt annet sted,,,46.389,Engroshandel med spesialisert utvalg av nærings- og nytelsesmidler ikke nevnt annet sted,direkte,false,,
Engroshandel med klær,22,2022-08-15,2025-08-08,22,0,SN2007,T1,46.421,Engroshandel med klær,,,46.421,Engroshandel med klær,direkte,false,,
Butikkhandel med tekstiler og utstyrsvarer,22,2021-03-08,2025-06-24,22,0,SN2007,T1,47.510,Butikkhandel med tekstiler og utstyrsvarer,,,47.510,Butikkhandel med tekstiler og utstyrsvarer,direkte,false,,
Annet installasjonsarbeid,22,2021-06-23,2026-03-13,14,8,begge,T1,43.290,Annet installasjonsarbeid,43.240,Annet installasjonsarbeid,43.290,Annet installasjonsarbeid,direkte,true,true,43.240
Annen spesialisert bygge- og anleggsvirksomhet ikke nevnt an,22,2025-09-25,2026-08-14,0,22,SN2025,T2,,,43.990,Annen spesialisert bygge- og anleggsvirksomhet ikke nevnt annet sted,41.200|43.990,Oppføring av bygninger | Annen spesialisert bygge- og anleggsvirksomhet,korrespondanse-1tilmange,true,true,43.990
"Detaljhandel med andre motorvogner, unntatt motorsykler",21,2022-08-12,2024-12-23,21,0,SN2007,T1,45.192,"Detaljhandel med andre motorvogner, unntatt motorsykler",,,45.192,"Detaljhandel med andre motorvogner, unntatt motorsykler",direkte,false,,
Annen undervisning ellers,21,2025-09-17,2026-07-13,0,21,SN2025,T2,,,85.597,Annen undervisning ellers,85.599,Annen undervisning ikke nevnt annet sted,korrespondanse-1til1,false,false,85.597
Detaljhandel med sportsvarer,21,2025-10-01,2026-08-17,0,21,SN2025,T2,,,47.631,Detaljhandel med sportsvarer,47.641|47.789|47.890|47.919|47.990,Butikkhandel med sportsutstyr | Butikkhandel ikke nevnt annet sted | Torghandel med andre varer | Postordre-/Internetthandel med annet spesialisert vareutvalg | Detaljhandel utenom utsalgssted ellers,korrespondanse-1tilmange,false,false,47.631
Engroshandel med maskiner og utstyr ellers,21,2025-09-09,2026-08-21,0,21,SN2025,T2,,,46.640,Engroshandel med maskiner og utstyr ellers,46.431|46.640|46.691|46.692|46.693|46.694,"Engroshandel med elektriske husholdningsapparater og -maskiner | Engroshandel med maskiner og utstyr til tekstilproduksjon | Engroshandel med maskiner og utstyr til kraftproduksjon og installasjon | Engroshandel med skipsutstyr og fiskeredskap | Engroshandel med maskiner og utstyr til industri ellers | Engroshandel med maskiner og utstyr til handel, transport og tjenesteyting ellers",korrespondanse-1tilmange,false,false,46.640
Engroshandel med trelast,21,2021-03-15,2025-07-04,21,0,SN2007,T1,46.732,Engroshandel med trelast,,,46.732,Engroshandel med trelast,direkte,false,,
Trykking ellers,20,2019-10-09,2026-07-24,13,7,begge,T1,18.120,Trykking ellers,18.120,Trykking ellers,18.120,Trykking ellers,direkte,false,false,18.120
Grafisk og visuell kommunikasjonsdesign,20,2023-05-05,2025-08-07,20,0,SN2007,T1,74.102,Grafisk og visuell kommunikasjonsdesign,,,74.102,Grafisk og visuell kommunikasjonsdesign,direkte,false,,
"Engroshandel med maskiner og utstyr til bergverksdrift, olje",20,2019-07-29,2026-07-23,15,5,begge,T1,46.630,"Engroshandel med maskiner og utstyr til bergverksdrift, olje- og gassutvinning og bygge- og anleggsvirksomhet",46.630,"Engroshandel med maskiner og utstyr til bergverksdrift, olje- og gassutvinning og bygge- og anleggsvirksomhet",46.630,"Engroshandel med maskiner og utstyr til bergverksdrift, olje- og gassutvinning og bygge- og anleggsvirksomhet",direkte,false,false,46.630
Engroshandel med møbler,20,2022-10-17,2025-06-19,20,0,SN2007,T1,46.471,Engroshandel med møbler,,,46.471,Engroshandel med møbler,direkte,false,,
Utleie av arbeidskraft og andre personaladministrative tjene,20,2025-09-04,2026-07-09,0,20,SN2025,T2,,,78.200,Utleie av arbeidskraft og andre personaladministrative tjenester,78.200|78.300,Utleie av arbeidskraft | Andre personaladministrative tjenester,korrespondanse-1tilmange,false,false,78.200
Produksjon av møbler ellers,20,2021-03-11,2025-08-14,20,0,SN2007,T1,31.090,Produksjon av møbler ellers,,,31.090,Produksjon av møbler ellers,direkte,false,,
"Engroshandel med fisk, skalldyr og bløtdyr",20,2022-03-17,2026-07-02,15,5,begge,T1,46.381,"Engroshandel med fisk, skalldyr og bløtdyr",46.322,"Engroshandel med fisk, skalldyr og bløtdyr",46.381,"Engroshandel med fisk, skalldyr og bløtdyr",direkte,false,false,46.322
Eiendomsforvaltning,20,2021-09-08,2025-08-22,20,0,SN2007,T1,68.320,Eiendomsforvaltning,,,68.320,Eiendomsforvaltning,direkte,false,,
