etikett,flerbransje,primaernaering,selskaper,forste_dato,siste_dato,selsk_for_som,selsk_etter_som,vintage,metode,standard,kode,kodenavn,kodeniva,kanonisk_sn2007,kanonisk_navn,kanonisk_kilde,naering2,er_bygg_F,er_bygg_kjerne,er_eiendomsutvikling_41_1,manuell_grunn
Etterforskningstjenester og private vakttjenester,false,,1,2026-03-12,2026-03-12,0,1,SN2025,T2,SN2025,80.010,Etterforskningstjenester og private vakttjenester,5,80.100|80.300,Private vakttjenester | Etterforsking,korrespondanse 1:n,80,false,false,false,
Filmframvisning,false,,1,2024-10-18,2024-10-18,1,0,SN2007,T1,SN2007,59.140,Filmframvisning,5,59.140,Filmframvisning,direkte SN2007,59,false,false,false,
Elektrisk installasjonsarbeid \n Detaljhandel med deler og utst,true,Elektrisk installasjonsarbeid,1,2022-07-08,2022-07-08,1,0,SN2007,T1,SN2007,43.210,Elektrisk installasjonsarbeid,5,43.210,Elektrisk installasjonsarbeid,direkte SN2007,43,true,true,false,
"Dyrking av krydder og aromatiske, medisinske og farmasøytisk",false,,1,2024-07-11,2024-07-11,1,0,SN2007,T1,SN2007,01.280,"Dyrking av krydder og aromatiske, medisinske og farmasøytiske vekster",5,01.280,"Dyrking av krydder og aromatiske, medisinske og farmasøytiske vekster",direkte SN2007,01,false,false,false,
"Dyrking av korn, unntatt ris, belgvekster og oljeholdige vek",false,,1,2025-12-08,2025-12-08,0,1,SN2025,T2,SN2025,01.110,"Dyrking av korn, unntatt ris, belgvekster og oljeholdige vekster",5,01.110,"Dyrking av korn (unntatt ris), belgvekster og oljeholdige vekster",korrespondanse 1:1,01,false,false,false,
Folkehøgskoleundervisning,false,,1,2024-07-31,2024-07-31,1,0,SN2007,T1,SN2007,85.591,Folkehøgskoleundervisning,5,85.591,Folkehøgskoleundervisning,direkte SN2007,85,false,false,false,
Formidlingstjenester tilknyttet detaljhandel med bredt vareu,false,,1,2025-10-23,2025-10-23,0,1,SN2025,T2,SN2025,47.910,Formidlingstjenester tilknyttet detaljhandel med bredt vareutvalg,5,47.111|47.112|47.190|47.791|47.792|47.799|47.890|47.911|47.990|82.990,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler | Kioskhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler | Butikkhandel med bredt vareutvalg ellers | Butikkhandel med antikviteter | Butikkhandel med brukte klær | Butikkhandel med brukte varer ellers | Torghandel med andre varer | Postordre-/Internetthandel med bredt vareutvalg | Detaljhandel utenom utsalgssted ellers | Annen forretningsmessig tjenesteyting ikke nevnt annet sted,korrespondanse 1:n,47|82,false,false,false,
Formidlingstjenester tilknyttet forretningsmessig tjenesteyt,false,,1,2026-06-04,2026-06-04,0,1,SN2025,T2,SN2025,82.400,Formidlingstjenester tilknyttet forretningsmessig tjenesteyting ikke nevnt annet sted,5,79.909|82.990,Turistrelaterte tjenester ikke nevnt annet sted | Annen forretningsmessig tjenesteyting ikke nevnt annet sted,korrespondanse 1:n,79|82,false,false,false,
Formidlingstjenester tilknyttet kurs og veiledere,false,,1,2026-03-30,2026-03-30,0,1,SN2025,T2,SN2025,85.610,Formidlingstjenester tilknyttet kurs og veiledere,5,82.990,Annen forretningsmessig tjenesteyting ikke nevnt annet sted,korrespondanse 1:1,82,false,false,false,
"Dyrking av grønnsaker, meloner, rot- og knollvekster \n Svineho",true,"Dyrking av grønnsaker, meloner, rot- og knollvekster",1,2025-10-15,2025-10-15,0,1,SN2025,T2,SN2025,01.130,"Dyrking av grønnsaker, meloner, rot- og knollvekster",5,01.130|01.190|01.280,"Dyrking av grønnsaker, meloner, rot- og knollvekster | Dyrking av ettårige vekster ellers | Dyrking av krydder og aromatiske, medisinske og farmasøytiske vekster",korrespondanse 1:n,01,false,false,false,
Drosjebiltransport \n Trafikkskoleundervisning,true,Drosjebiltransport,1,2023-09-11,2023-09-11,1,0,SN2007,T1,SN2007,49.320,Drosjebiltransport,5,49.320,Drosjebiltransport,direkte SN2007,49,false,false,false,
Forskning og utviklingsarbeid innen samfunnsvitenskap og hum,false,,1,2023-05-12,2023-05-12,1,0,SN2007,T1,SN2007,72.200,Forskning og utviklingsarbeid innen samfunnsvitenskap og humanistiske fag,5,72.200,Forskning og utviklingsarbeid innen samfunnsvitenskap og humanistiske fag,direkte SN2007,72,false,false,false,
Forsyningsbaser,false,,1,2023-04-17,2023-04-17,1,0,SN2007,T1,SN2007,52.223,Forsyningsbaser,5,52.223,Forsyningsbaser,direkte SN2007,52,false,false,false,
Utleie og leasing av kontor- og datamaskiner,false,,1,2024-04-12,2024-04-12,1,0,SN2007,T1,SN2007,77.330,Utleie og leasing av kontor- og datamaskiner,5,77.330,Utleie og leasing av kontor- og datamaskiner,direkte SN2007,77,false,false,false,
Drosjebiltransport \n Frisering og annen skjønnhetspleie,true,Drosjebiltransport,1,2025-01-21,2025-01-21,1,0,SN2007,T1,SN2007,49.320,Drosjebiltransport,5,49.320,Drosjebiltransport,direkte SN2007,49,false,false,false,
"Fotokopiering, forberedelse av dokumenter og andre spesialis",false,,1,2025-06-16,2025-06-16,1,0,SN2007,T1,SN2007,82.190,"Fotokopiering, forberedelse av dokumenter og andre spesialiserte kontortjenester",5,82.190,"Fotokopiering, forberedelse av dokumenter og andre spesialiserte kontortjenester",direkte SN2007,82,false,false,false,
Drift av vandrerhjem og ferieleiligheter \n Drift av restaurant,true,Drift av vandrerhjem og ferieleiligheter,1,2025-09-10,2025-09-10,0,1,SN2025,T2,SN2025,55.200,Drift av vandrerhjem og ferieleiligheter,5,55.201|55.202,Drift av vandrerhjem | Drift av ferieleiligheter,korrespondanse 1:n,55,false,false,false,
Drift av vandrerhjem og ferieleiligheter,false,,1,2025-12-01,2025-12-01,0,1,SN2025,T2,SN2025,55.200,Drift av vandrerhjem og ferieleiligheter,5,55.201|55.202,Drift av vandrerhjem | Drift av ferieleiligheter,korrespondanse 1:n,55,false,false,false,
Drift av søkemotorer,false,,1,2026-02-06,2026-02-06,0,1,SN2025,T2,SN2025,63.910,Drift av søkemotorer,5,63.120,Drift av web-portaler,korrespondanse 1:1,63,false,false,false,
"Frysing av fisk, fiskefileter, skalldyr og bløtdyr",false,,1,2024-08-07,2024-08-07,1,0,SN2007,T1,SN2007,10.202,"Frysing av fisk, fiskefileter, skalldyr og bløtdyr",5,10.202,"Frysing av fisk, fiskefileter, skalldyr og bløtdyr",direkte SN2007,10,false,false,false,
"Frysing og videre bearbeiding av fisk, skalldyr og bløtdyr",false,,1,2025-09-22,2025-09-22,0,1,SN2025,T2,SN2025,10.203,"Frysing og videre bearbeiding av fisk, skalldyr og bløtdyr",5,10.202|10.203|10.209,"Frysing av fisk, fiskefileter, skalldyr og bløtdyr | Produksjon av fiskehermetikk | Slakting, bearbeiding og konservering av fisk og fiskevarer ellers",korrespondanse 1:n,10,false,false,false,
Fysioterapi- og ergoterapitjenester,false,,1,2026-07-08,2026-07-08,0,1,SN2025,T2,SN2025,86.950,Fysioterapi- og ergoterapitjenester,5,86.107|86.902|86.909,Rehabiliterings- og opptreningsinstitusjoner | Fysioterapitjeneste | Andre helsetjenester,korrespondanse 1:n,86,false,false,false,
Førskoleundervisning og drift av barnehager,false,,1,2025-10-07,2025-10-07,0,1,SN2025,T2,SN2025,85.100,Førskoleundervisning og drift av barnehager,5,85.100|88.911,Førskoleundervisning | Barnehager,korrespondanse 1:n,85|88,false,false,false,
Geitehold,false,,1,2026-05-06,2026-05-06,0,1,SN2025,T2,SN2025,01.452,Geitehold,5,01.452,Geitehold,identisk kode i begge standarder,01,false,false,false,
Geitehold \n Byggeteknisk konsulentvirksomhet,true,Geitehold,1,2024-05-13,2024-05-13,1,0,SN2007,T1,SN2007,01.452,Geitehold,5,01.452,Geitehold,direkte SN2007,01,false,false,false,
Drift av restauranter og kafeer \n Frisering og annen skjønnhet,true,Drift av restauranter og kafeer,1,2023-10-06,2023-10-06,1,0,SN2007,T1,SN2007,56.101,Drift av restauranter og kafeer,5,56.101,Drift av restauranter og kafeer,direkte SN2007,56,false,false,false,
Drift av restauranter og kafeer \n Drift av gatekjøkken,true,Drift av restauranter og kafeer,1,2023-01-16,2023-01-16,1,0,SN2007,T1,SN2007,56.101,Drift av restauranter og kafeer,5,56.101,Drift av restauranter og kafeer,direkte SN2007,56,false,false,false,
Drift av restauranter og kafeer \n Drift av barer ellers,true,Drift av restauranter og kafeer,1,2024-06-13,2024-06-13,1,0,SN2007,T1,SN2007,56.101,Drift av restauranter og kafeer,5,56.101,Drift av restauranter og kafeer,direkte SN2007,56,false,false,false,
Godstransport på vei \n Andre post- og budtjenester,true,Godstransport på vei,1,2025-05-13,2025-05-13,1,0,SN2007,T1,SN2007,49.410,Godstransport på vei,5,49.410,Godstransport på vei,direkte SN2007,49,false,false,false,
Godstransport på vei \n Programmeringstjenester,true,Godstransport på vei,1,2023-05-09,2023-05-09,1,0,SN2007,T1,SN2007,49.410,Godstransport på vei,5,49.410,Godstransport på vei,direkte SN2007,49,false,false,false,
Drift av restauranter og kafeer \n Cateringvirksomhet,true,Drift av restauranter og kafeer,1,2023-06-23,2023-06-23,1,0,SN2007,T1,SN2007,56.101,Drift av restauranter og kafeer,5,56.101,Drift av restauranter og kafeer,direkte SN2007,56,false,false,false,
Drift av restauranter og kafeer \n Bedriftsrådgivning og annen,true,Drift av restauranter og kafeer,1,2022-12-30,2022-12-30,1,0,SN2007,T1,SN2007,56.101,Drift av restauranter og kafeer,5,56.101,Drift av restauranter og kafeer,direkte SN2007,56,false,false,false,
Grunnarbeid \n Utleie og leasing av bygge- og anleggsmaskiner o,true,Grunnarbeid,1,2026-03-13,2026-03-13,0,1,SN2025,T2,SN2025,43.120,Grunnarbeid,5,43.120,Grunnarbeid,identisk kode i begge standarder,43,true,true,false,
Drift av restauranter \n Utleie av egen eller leid fast eiendom,true,Drift av restauranter,1,2026-01-29,2026-01-29,0,1,SN2025,T2,SN2025,56.110,Drift av restauranter,5,56.101|56.102,Drift av restauranter og kafeer | Drift av gatekjøkken,korrespondanse 1:n,56,false,false,false,
Drift av restauranter \n Andre tjenester tilknyttet kunstnerisk,true,Drift av restauranter,1,2025-09-09,2025-09-09,0,1,SN2025,T2,SN2025,56.110,Drift av restauranter,5,56.101|56.102,Drift av restauranter og kafeer | Drift av gatekjøkken,korrespondanse 1:n,56,false,false,false,
Hjemmesykepleie,false,,1,2024-02-23,2024-02-23,1,0,SN2007,T1,SN2007,86.901,Hjemmesykepleie,5,86.901,Hjemmesykepleie,direkte SN2007,86,false,false,false,
Utleie og leasing av landbruksmaskiner og -utstyr,false,,1,2023-03-09,2023-03-09,1,0,SN2007,T1,SN2007,77.310,Utleie og leasing av landbruksmaskiner og -utstyr,5,77.310,Utleie og leasing av landbruksmaskiner og -utstyr,direkte SN2007,77,false,false,false,
Hold av verpehøner for konsumeggproduksjon \n Butikkhandel med,true,Hold av verpehøner for konsumeggproduksjon,1,2024-04-16,2024-04-16,1,0,SN2007,T1,SN2007,01.471,Hold av verpehøner for konsumeggproduksjon,5,01.471,Hold av verpehøner for konsumeggproduksjon,direkte SN2007,01,false,false,false,
Idrettslag og -klubber,false,,1,2024-10-22,2024-10-22,1,0,SN2007,T1,SN2007,93.120,Idrettslag og -klubber,5,93.120,Idrettslag og -klubber,direkte SN2007,93,false,false,false,
Drift av lokaler tilknyttet kunstnerisk virksomhet,false,,1,2023-03-30,2023-03-30,1,0,SN2007,T1,SN2007,90.040,Drift av lokaler tilknyttet kunstnerisk virksomhet,5,90.040,Drift av lokaler tilknyttet kunstnerisk virksomhet,direkte SN2007,90,false,false,false,
Andre helsetjenester ellers \n Omsorgstjenester i botilbud for,true,Andre helsetjenester ellers,1,2025-10-22,2025-10-22,0,1,SN2025,T2,SN2025,86.993,Andre helsetjenester ellers,5,86.906|86.909,Medisinske laboratorietjenester | Andre helsetjenester,korrespondanse 1:n,86,false,false,false,
Innrednings- og installasjonsarbeid utført på borerigger og,false,,1,2023-03-01,2023-03-01,1,0,SN2007,INGEN,,,,,,,,,,,,
Alternative investeringsfond (AIF) som ikke er verdipapirfon,false,,1,2023-10-20,2023-10-20,1,0,SN2007,T1,SN2007,64.302,Alternative investeringsfond (AIF) som ikke er verdipapirfond,5,64.302,Alternative investeringsfond (AIF) som ikke er verdipapirfond,direkte SN2007,64,false,false,false,
Innsamling av farlig avfall,false,,1,2020-11-23,2020-11-23,1,0,SN2007,T1,SN2007,38.120,Innsamling av farlig avfall,5,38.120,Innsamling av farlig avfall,direkte SN2007,38,false,false,false,
"Drift av hoteller, pensjonater og moteller uten restaurant",false,,1,2025-05-26,2025-05-26,1,0,SN2007,T1,SN2007,55.102,"Drift av hoteller, pensjonater og moteller uten restaurant",5,55.102,"Drift av hoteller, pensjonater og moteller uten restaurant",direkte SN2007,55,false,false,false,
"Drift av hoteller, pensjonater og moteller med restaurant \n Ut",true,"Drift av hoteller, pensjonater og moteller med restaurant",1,2020-07-15,2020-07-15,1,0,SN2007,T1,SN2007,55.101,"Drift av hoteller, pensjonater og moteller med restaurant",5,55.101,"Drift av hoteller, pensjonater og moteller med restaurant",direkte SN2007,55,false,false,false,
"Drift av hoteller, pensjonater og moteller med restaurant \n Ko",true,"Drift av hoteller, pensjonater og moteller med restaurant",1,2023-02-15,2023-02-15,1,0,SN2007,T1,SN2007,55.101,"Drift av hoteller, pensjonater og moteller med restaurant",5,55.101,"Drift av hoteller, pensjonater og moteller med restaurant",direkte SN2007,55,false,false,false,
Drift av historiske steder og bygninger og lignende severdig,false,,1,2025-06-25,2025-06-25,1,0,SN2007,T1,SN2007,91.030,Drift av historiske steder og bygninger og lignende severdigheter,5,91.030,Drift av historiske steder og bygninger og lignende severdigheter,direkte SN2007,91,false,false,false,
Drift av havne- og kaianlegg,false,,1,2024-01-11,2024-01-11,1,0,SN2007,T1,SN2007,52.221,Drift av havne- og kaianlegg,5,52.221,Drift av havne- og kaianlegg,direkte SN2007,52,false,false,false,
Drift av ferieleiligheter \n Drift av puber,true,Drift av ferieleiligheter,1,2024-10-14,2024-10-14,1,0,SN2007,T1,SN2007,55.202,Drift av ferieleiligheter,5,55.202,Drift av ferieleiligheter,direkte SN2007,55,false,false,false,
Drift av campingplasser,false,,1,2026-04-07,2026-04-07,0,1,SN2025,T2,SN2025,55.300,Drift av campingplasser,5,55.300,Drift av campingplasser,identisk kode i begge standarder,55,false,false,false,
Detaljhandel med tekstiler og utstyrsvarer \n Detaljhandel med,true,Detaljhandel med tekstiler og utstyrsvarer,1,2026-02-12,2026-02-12,0,1,SN2025,T2,SN2025,47.510,Detaljhandel med tekstiler og utstyrsvarer,5,47.510|47.820|47.912|47.990,"Butikkhandel med tekstiler og utstyrsvarer | Torghandel med tekstiler, klær, skotøy og utstyrsvarer | Postordre-/Internetthandel med tekstiler, utstyrsvarer, klær, skotøy, reiseeffekter og lærvarer | Detaljhandel utenom utsalgssted ellers",korrespondanse 1:n,47,false,false,false,
Detaljhandel med motorvogner \n Reparasjon og vedlikehold av mo,true,Detaljhandel med motorvogner,1,2026-06-01,2026-06-01,0,1,SN2025,T2,SN2025,47.810,Detaljhandel med motorvogner,5,45.112|45.192,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler | Detaljhandel med andre motorvogner, unntatt motorsykler",korrespondanse 1:n,45,false,false,false,
Kysttrafikk med passasjerer ikke nevnt annet sted,false,,1,2026-08-12,2026-08-12,0,1,SN2025,T2,SN2025,50.109,Kysttrafikk med passasjerer ikke nevnt annet sted,5,50.109,Kysttrafikk ellers med passasjerer,korrespondanse 1:1,50,false,false,false,
Landskapsarkitekttjenester,false,,1,2025-04-01,2025-04-01,1,0,SN2007,T1,SN2007,71.113,Landskapsarkitekttjenester,5,71.113,Landskapsarkitekttjenester,direkte SN2007,71,false,false,false,
Detaljhandel med motorsykler og tilhørende deler og utstyr \n R,true,Detaljhandel med motorsykler og tilhørende deler og utstyr,1,2026-07-09,2026-07-09,0,1,SN2025,T2,SN2025,47.830,Detaljhandel med motorsykler og tilhørende deler og utstyr,5,45.402,"Detaljhandel med motorsykler, deler og utstyr",korrespondanse 1:1,45,false,false,false,
Legetjenester innen psykisk helsevern,false,,1,2024-11-04,2024-11-04,1,0,SN2007,T1,SN2007,86.222,Legetjenester innen psykisk helsevern,5,86.222,Legetjenester innen psykisk helsevern,direkte SN2007,86,false,false,false,
Lotteri og totalisatorspill,false,,1,2024-09-25,2024-09-25,1,0,SN2007,T1,SN2007,92.000,Lotteri og totalisatorspill,5,92.000,Lotteri og totalisatorspill,direkte SN2007,92,false,false,false,
Malerarbeid \n Butikkhandel med fargevarer,true,Malerarbeid,1,2025-05-27,2025-05-27,1,0,SN2007,T1,SN2007,43.341,Malerarbeid,5,43.341,Malerarbeid,direkte SN2007,43,true,true,false,
Markeds- og opinionsundersøkelser,false,,1,2020-04-16,2020-04-16,1,0,SN2007,T1,SN2007,73.200,Markeds- og opinionsundersøkelser,5,73.200,Markeds- og opinionsundersøkelser,direkte SN2007,73,false,false,false,
Medisinske laboratorietjenester,false,,1,2024-07-02,2024-07-02,1,0,SN2007,T1,SN2007,86.906,Medisinske laboratorietjenester,5,86.906,Medisinske laboratorietjenester,direkte SN2007,86,false,false,false,
Melkeproduksjon på storfe,false,,1,2024-10-16,2024-10-16,1,0,SN2007,T1,SN2007,01.410,Melkeproduksjon på storfe,5,01.410,Melkeproduksjon på storfe,direkte SN2007,01,false,false,false,
Melkeproduksjon på storfe \n Svinehold,true,Melkeproduksjon på storfe,1,2023-08-15,2023-08-15,1,0,SN2007,T1,SN2007,01.410,Melkeproduksjon på storfe,5,01.410,Melkeproduksjon på storfe,direkte SN2007,01,false,false,false,
Allmennlegetjenester,false,,1,2026-05-28,2026-05-28,0,1,SN2025,T2,SN2025,86.210,Allmennlegetjenester,5,86.211,Allmenn legetjeneste,korrespondanse 1:1,86,false,false,false,
"Miljøutbedring, opprydding og lignende aktivitet",false,,1,2025-11-17,2025-11-17,0,1,SN2025,T2,SN2025,39.000,"Miljøutbedring, opprydding og lignende aktivitet",5,39.000,"Miljørydding, miljørensing og lignende virksomhet",korrespondanse 1:1,39,false,false,false,
"Detaljhandel med klær \n Industri-, produkt- og motedesignvirks",true,Detaljhandel med klær,1,2026-08-13,2026-08-13,0,1,SN2025,T2,SN2025,47.710,Detaljhandel med klær,5,47.710|47.820|47.912|47.990,"Butikkhandel med klær | Torghandel med tekstiler, klær, skotøy og utstyrsvarer | Postordre-/Internetthandel med tekstiler, utstyrsvarer, klær, skotøy, reiseeffekter og lærvarer | Detaljhandel utenom utsalgssted ellers",korrespondanse 1:n,47,false,false,false,
Nyhetsbyråer,false,,1,2024-08-19,2024-08-19,1,0,SN2007,T1,SN2007,63.910,Nyhetsbyråer,5,63.910,Nyhetsbyråer,direkte SN2007,63,false,false,false,
Omsorgstjenester i botilbud for personer med psykiske helsep,false,,1,2025-10-23,2025-10-23,0,1,SN2025,T2,SN2025,87.201,Omsorgstjenester i botilbud for personer med psykiske helseproblemer og/eller rusmiddelproblemer,5,86.106|87.201|87.202|87.302|87.303,Rusmiddelinstitusjoner | Psykiatriske sykehjem | Omsorgsinstitusjoner for rusmiddelmisbrukere | Bofellesskap for eldre og funksjonshemmede med fast tilknyttet personell hele døgnet | Bofellesskap for eldre og funksjonshemmede med fast tilknyttet personell deler av døgnet,korrespondanse 1:n,86|87,false,false,false,
Oppdrett av annet storfe til kjøttproduksjon og sædproduksjo,false,,1,2025-10-14,2025-10-14,0,1,SN2025,T2,SN2025,01.420,Oppdrett av annet storfe til kjøttproduksjon og sædproduksjon,5,01.420,Oppdrett av annet storfe,korrespondanse 1:1,01,false,false,false,
Oppdrett av hester og andre dyr av hestefamilien,false,,1,2025-05-07,2025-05-07,1,0,SN2007,T1,SN2007,01.430,Oppdrett av hester og andre dyr av hestefamilien,5,01.430,Oppdrett av hester og andre dyr av hestefamilien,direkte SN2007,01,false,false,false,
Detaljhandel med klær \n Detaljhandel med kosmetikk og toaletta,true,Detaljhandel med klær,1,2025-11-25,2025-11-25,0,1,SN2025,T2,SN2025,47.710,Detaljhandel med klær,5,47.710|47.820|47.912|47.990,"Butikkhandel med klær | Torghandel med tekstiler, klær, skotøy og utstyrsvarer | Postordre-/Internetthandel med tekstiler, utstyrsvarer, klær, skotøy, reiseeffekter og lærvarer | Detaljhandel utenom utsalgssted ellers",korrespondanse 1:n,47,false,false,false,
Oppføring av bygninger \n Eiendomsmegling,true,Oppføring av bygninger,1,2024-11-25,2024-11-25,1,0,SN2007,T1,SN2007,41.200,Oppføring av bygninger,5,41.200,Oppføring av bygninger,direkte SN2007,41,true,true,false,
Detaljhandel med frukt og grønnsaker,false,,1,2025-11-06,2025-11-06,0,1,SN2025,T2,SN2025,47.210,Detaljhandel med frukt og grønnsaker,5,47.210|47.810|47.919|47.990,"Butikkhandel med frukt og grønnsaker | Torghandel med næringsmidler, drikkevarer og tobakksvarer | Postordre-/Internetthandel med annet spesialisert vareutvalg | Detaljhandel utenom utsalgssted ellers",korrespondanse 1:n,47,false,false,false,
Overflatebehandling av metaller \n Annen spesialisert bygge- og,true,Overflatebehandling av metaller,1,2024-02-13,2024-02-13,1,0,SN2007,T1,SN2007,25.610,Overflatebehandling av metaller,5,25.610,Overflatebehandling av metaller,direkte SN2007,25,false,false,false,
"Detaljhandel med fisk, skalldyr og bløtdyr",false,,1,2026-06-23,2026-06-23,0,1,SN2025,T2,SN2025,47.230,"Detaljhandel med fisk, skalldyr og bløtdyr",5,47.230|47.810|47.919|47.990,"Butikkhandel med fisk, skalldyr og bløtdyr | Torghandel med næringsmidler, drikkevarer og tobakksvarer | Postordre-/Internetthandel med annet spesialisert vareutvalg | Detaljhandel utenom utsalgssted ellers",korrespondanse 1:n,47,false,false,false,
PR og kommunikasjonstjenester \n Reklamebyråer,true,PR og kommunikasjonstjenester,1,2023-06-14,2023-06-14,1,0,SN2007,T1,SN2007,70.210,PR og kommunikasjonstjenester,5,70.210,PR og kommunikasjonstjenester,direkte SN2007,70,false,false,false,
PR og kommunikasjonstjenester \n Telefonsalg,true,PR og kommunikasjonstjenester,1,2024-02-22,2024-02-22,1,0,SN2007,T1,SN2007,70.210,PR og kommunikasjonstjenester,5,70.210,PR og kommunikasjonstjenester,direkte SN2007,70,false,false,false,
Pakkevirksomhet,false,,1,2023-03-24,2023-03-24,1,0,SN2007,T1,SN2007,82.920,Pakkevirksomhet,5,82.920,Pakkevirksomhet,direkte SN2007,82,false,false,false,
Detaljhandel med deler og utstyr til motorvogner \n Reparasjon,true,Detaljhandel med deler og utstyr til motorvogner,1,2026-05-28,2026-05-28,0,1,SN2025,T2,SN2025,47.820,Detaljhandel med deler og utstyr til motorvogner,5,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",korrespondanse 1:1,45,false,false,false,
Allmenn legetjeneste \n Tannhelsetjenester,true,Allmenn legetjeneste,1,2024-11-13,2024-11-13,1,0,SN2007,T1,SN2007,86.211,Allmenn legetjeneste,5,86.211,Allmenn legetjeneste,direkte SN2007,86,false,false,false,
Plan- og reguleringsarbeid,false,,1,2024-02-14,2024-02-14,1,0,SN2007,T1,SN2007,71.111,Plan- og reguleringsarbeid,5,71.111,Plan- og reguleringsarbeid,direkte SN2007,71,false,false,false,
Postordre-/Internetthandel med IKT-utstyr,false,,1,2024-11-05,2024-11-05,1,0,SN2007,T1,SN2007,47.916,Postordre-/Internetthandel med IKT-utstyr,5,47.916,Postordre-/Internetthandel med IKT-utstyr,direkte SN2007,47,false,false,false,
"Detaljhandel med andre motorvogner, unntatt motorsykler \n Vedl",true,"Detaljhandel med andre motorvogner, unntatt motorsykler",1,2023-02-03,2023-02-03,1,0,SN2007,T1,SN2007,45.192,"Detaljhandel med andre motorvogner, unntatt motorsykler",5,45.192,"Detaljhandel med andre motorvogner, unntatt motorsykler",direkte SN2007,45,false,false,false,
"Destillering, rektifisering og blanding av sprit",false,,1,2025-06-19,2025-06-19,1,0,SN2007,T1,SN2007,11.010,"Destillering, rektifisering og blanding av sprit",5,11.010,"Destillering, rektifisering og blanding av sprit",direkte SN2007,11,false,false,false,
Demontering av vrakede gjenstander,false,,1,2024-11-26,2024-11-26,1,0,SN2007,T1,SN2007,38.310,Demontering av vrakede gjenstander,5,38.310,Demontering av vrakede gjenstander,direkte SN2007,38,false,false,false,
Dataprogrammeringstjenester \n Frisering og barbering,true,Dataprogrammeringstjenester,1,2026-04-07,2026-04-07,0,1,SN2025,T2,SN2025,62.100,Dataprogrammeringstjenester,5,62.010,Programmeringstjenester,korrespondanse 1:1,62,false,false,false,
Praktisk bistand i hjemmet,false,,1,2026-04-09,2026-04-09,0,1,SN2025,T2,SN2025,88.101,Praktisk bistand i hjemmet,5,88.101,Hjemmehjelp,korrespondanse 1:1,88,false,false,false,
Damp- og varmtvannsforsyning,false,,1,2024-12-18,2024-12-18,1,0,SN2007,T1,SN2007,35.300,Damp- og varmtvannsforsyning,5,35.300,Damp- og varmtvannsforsyning,direkte SN2007,35,false,false,false,
Aktiviteter utført av turistkontorer og destinasjonsselskape,false,,1,2026-07-22,2026-07-22,0,1,SN2025,T2,SN2025,79.901,Aktiviteter utført av turistkontorer og destinasjonsselskaper,5,79.901,Turistkontorvirksomhet og destinasjonsselskaper,korrespondanse 1:1,79,false,false,false,
Produksjon av andre deler og annet utstyr til motorvogner,false,,1,2025-03-25,2025-03-25,1,0,SN2007,T1,SN2007,29.320,Produksjon av andre deler og annet utstyr til motorvogner,5,29.320,Produksjon av andre deler og annet utstyr til motorvogner,direkte SN2007,29,false,false,false,
Produksjon av andre keramiske produkter for teknisk bruk,false,,1,2024-10-25,2024-10-25,1,0,SN2007,T1,SN2007,23.440,Produksjon av andre keramiske produkter for teknisk bruk,5,23.440,Produksjon av andre keramiske produkter for teknisk bruk,direkte SN2007,23,false,false,false,
Dagaktivitetstilbud tilpasset målgrupper,false,,1,2025-12-12,2025-12-12,0,1,SN2025,T2,SN2025,88.102,Dagaktivitetstilbud tilpasset målgrupper,5,88.102,Dagsentra/aktivitetssentra for eldre og funksjonshemmede,korrespondanse 1:1,88,false,false,false,
"Produksjon av andre tekstilvarer, unntatt klær \n Butikkhandel",true,"Produksjon av andre tekstilvarer, unntatt klær",1,2021-12-23,2021-12-23,1,0,SN2007,T1,SN2007,13.929,"Produksjon av andre tekstilvarer, unntatt klær",5,13.929,"Produksjon av andre tekstilvarer, unntatt klær",direkte SN2007,13,false,false,false,
Cateringvirksomhet \n Arbeidstrening for ordinært arbeidsmarked,true,Cateringvirksomhet,1,2023-11-08,2023-11-08,1,0,SN2007,T1,SN2007,56.210,Cateringvirksomhet,5,56.210,Cateringvirksomhet,direkte SN2007,56,false,false,false,
Produksjon av andre uorganiske kjemiske råvarer,false,,1,2026-01-12,2026-01-12,0,1,SN2025,T2,SN2025,20.130,Produksjon av andre uorganiske kjemiske råvarer,5,20.130,Produksjon av andre uorganiske kjemikalier,korrespondanse 1:1,20,false,false,false,
"Agentur- og engroshandel med motorsykler, deler og utstyr",false,,1,2024-02-21,2024-02-21,1,0,SN2007,T1,SN2007,45.401,"Agentur- og engroshandel med motorsykler, deler og utstyr",5,45.401,"Agentur- og engroshandel med motorsykler, deler og utstyr",direkte SN2007,45,false,false,false,
Bygging av skip og skrog over 100 br.tonn \n Reparasjon og vedl,true,Bygging av skip og skrog over 100 br.tonn,1,2025-06-02,2025-06-02,1,0,SN2007,T1,SN2007,30.111,Bygging av skip og skrog over 100 br.tonn,5,30.111,Bygging av skip og skrog over 100 br.tonn,direkte SN2007,30,false,false,false,
