etikett,flerbransje,primaernaering,selskaper,forste_dato,siste_dato,selsk_for_som,selsk_etter_som,vintage,metode,standard,kode,kodenavn,kodeniva,kanonisk_sn2007,kanonisk_navn,kanonisk_kilde,naering2,er_bygg_F,er_bygg_kjerne,er_eiendomsutvikling_41_1,manuell_grunn
Andre tjenester tilknyttet utvinning av råolje og naturgass,false,,7,2022-03-25,2025-11-28,5,2,begge,T1,SN2007,09.109,Andre tjenester tilknyttet utvinning av råolje og naturgass,5,09.109,Andre tjenester tilknyttet utvinning av råolje og naturgass,direkte SN2007,09,false,false,false,
Agenturhandel med bredt vareutvalg,false,,7,2023-05-26,2026-06-25,3,4,begge,T1,SN2007,46.190,Agenturhandel med bredt vareutvalg,5,46.190,Agenturhandel med bredt vareutvalg,direkte SN2007,46,false,false,false,
Butikkhandel med datamaskiner og utstyr til datamaskiner,false,,7,2022-06-30,2025-05-23,7,0,SN2007,T1,SN2007,47.410,Butikkhandel med datamaskiner og utstyr til datamaskiner,5,47.410,Butikkhandel med datamaskiner og utstyr til datamaskiner,direkte SN2007,47,false,false,false,
Forskning og utviklingsarbeid innen bioteknologi,false,,7,2023-02-16,2025-04-22,7,0,SN2007,T1,SN2007,72.110,Forskning og utviklingsarbeid innen bioteknologi,5,72.110,Forskning og utviklingsarbeid innen bioteknologi,direkte SN2007,72,false,false,false,
Klinisk psykologtjeneste,false,,7,2023-06-14,2025-07-29,7,0,SN2007,T1,SN2007,86.905,Klinisk psykologtjeneste,5,86.905,Klinisk psykologtjeneste,direkte SN2007,86,false,false,false,
Fjernsynskringkasting,false,,7,2022-05-13,2024-08-05,7,0,SN2007,T1,SN2007,60.200,Fjernsynskringkasting,5,60.200,Fjernsynskringkasting,direkte SN2007,60,false,false,false,
PR og kommunikasjonstjenester,false,,7,2021-11-23,2025-05-12,7,0,SN2007,T1,SN2007,70.210,PR og kommunikasjonstjenester,5,70.210,PR og kommunikasjonstjenester,direkte SN2007,70,false,false,false,
Oversettelses- og tolkevirksomhet,false,,7,2023-10-30,2025-10-29,6,1,begge,T1,SN2007,74.300,Oversettelses- og tolkevirksomhet,5,74.300,Oversettelses- og tolkevirksomhet,direkte SN2007,74,false,false,false,
"Kongress-, messe- og utstillingsvirksomhet",false,,7,2022-02-18,2026-05-07,6,1,begge,T1,SN2007,82.300,"Kongress-, messe- og utstillingsvirksomhet",5,82.300,"Kongress-, messe- og utstillingsvirksomhet",direkte SN2007,82,false,false,false,
Detaljhandel med kjæledyr og varer til kjæledyr,false,,7,2025-09-17,2026-06-10,0,7,SN2025,T2,SN2025,47.762,Detaljhandel med kjæledyr og varer til kjæledyr,5,47.762|47.890|47.919|47.990,Butikkhandel med kjæledyr og fôrvarer til kjæledyr | Torghandel med andre varer | Postordre-/Internetthandel med annet spesialisert vareutvalg | Detaljhandel utenom utsalgssted ellers,korrespondanse 1:n,47,false,false,false,
Engroshandel med klær og skotøy,false,,7,2025-10-22,2026-08-11,0,7,SN2025,T2,SN2025,46.420,Engroshandel med klær og skotøy,5,46.421|46.422,Engroshandel med klær | Engroshandel med skotøy,korrespondanse 1:n,46,false,false,false,
Engroshandel med kontormøbler,false,,7,2023-05-31,2025-05-30,7,0,SN2007,T1,SN2007,46.650,Engroshandel med kontormøbler,5,46.650,Engroshandel med kontormøbler,direkte SN2007,46,false,false,false,
Annen virksomhet for distribuering av innhold,false,,7,2025-09-16,2026-06-26,0,7,SN2025,T2,SN2025,60.390,Annen virksomhet for distribuering av innhold,5,47.915|47.916|63.110|63.120,"Postordre-/internetthandel med bøker, papir, aviser og blader | Postordre-/Internetthandel med IKT-utstyr | Databehandling, datalagring og tilknyttede tjenester | Drift av web-portaler",korrespondanse 1:n,47|63,false,false,false,
"Datainfrastruktur, -behandling, -lagring og tilknyttede tjen",false,,7,2025-10-21,2026-08-07,0,7,SN2025,T2,SN2025,63.100,"Datainfrastruktur, -behandling, -lagring og tilknyttede tjenester",5,52.100|63.110,"Lagring | Databehandling, datalagring og tilknyttede tjenester",korrespondanse 1:n,52|63,false,false,false,
Reisebyråvirksomhet,false,,7,2020-12-08,2025-06-27,7,0,SN2007,T1,SN2007,79.110,Reisebyråvirksomhet,5,79.110,Reisebyråvirksomhet,direkte SN2007,79,false,false,false,
Innsamling av ikke-farlig avfall,false,,7,2020-06-23,2025-11-12,6,1,begge,T1,SN2007,38.110,Innsamling av ikke-farlig avfall,5,38.110,Innsamling av ikke-farlig avfall,direkte SN2007,38,false,false,false,
Produksjon av annet yttertøy,false,,6,2023-09-13,2025-02-26,6,0,SN2007,T1,SN2007,14.130,Produksjon av annet yttertøy,5,14.130,Produksjon av annet yttertøy,direkte SN2007,14,false,false,false,
Murerarbeid,false,,6,2025-12-19,2026-08-18,0,6,SN2025,T2,SN2025,43.910,Murerarbeid,5,43.990,Annen spesialisert bygge- og anleggsvirksomhet,korrespondanse 1:1,43,true,true,false,
Utleie og leasing av sjøtransportmateriell,false,,6,2024-04-25,2025-07-09,6,0,SN2007,T1,SN2007,77.340,Utleie og leasing av sjøtransportmateriell,5,77.340,Utleie og leasing av sjøtransportmateriell,direkte SN2007,77,false,false,false,
Produksjon av batterier og akkumulatorer,false,,6,2024-04-11,2026-05-07,3,3,begge,T1,SN2007,27.200,Produksjon av batterier og akkumulatorer,5,27.200,Produksjon av batterier og akkumulatorer,direkte SN2007,27,false,false,false,
Butikkhandel med kjøtt og kjøttvarer,false,,6,2022-03-17,2025-05-14,6,0,SN2007,T1,SN2007,47.220,Butikkhandel med kjøtt og kjøttvarer,5,47.220,Butikkhandel med kjøtt og kjøttvarer,direkte SN2007,47,false,false,false,
Detaljhandel med kulturvarer ikke nevnt annet sted,false,,6,2026-02-24,2026-08-12,0,6,SN2025,T2,SN2025,47.690,Detaljhandel med kulturvarer ikke nevnt annet sted,5,47.594|47.630|47.789|47.890|47.914|47.919|47.990,"Butikkhandel med musikkinstrumenter og noter | Butikkhandel med innspillinger av musikk og video | Butikkhandel ikke nevnt annet sted | Torghandel med andre varer | Postordre-/Internetthandel med elektriske husholdningsapparater, radio, fjernsyn, plater, kassetter og musikkinstrumenter | Postordre-/Internetthandel med annet spesialisert vareutvalg | Detaljhandel utenom utsalgssted ellers",korrespondanse 1:n,47,false,false,false,
Bearbeiding og konservering av kjøtt,false,,6,2022-01-14,2025-08-05,6,0,SN2007,T1,SN2007,10.110,Bearbeiding og konservering av kjøtt,5,10.110,Bearbeiding og konservering av kjøtt,direkte SN2007,10,false,false,false,
Produksjon av sportsartikler,false,,6,2024-10-22,2026-06-18,2,4,begge,T1,SN2007,32.300,Produksjon av sportsartikler,5,32.300,Produksjon av sportsartikler,direkte SN2007,32,false,false,false,
"Produksjon av andre tekstilvarer, unntatt klær",false,,6,2023-01-02,2025-01-20,6,0,SN2007,T1,SN2007,13.929,"Produksjon av andre tekstilvarer, unntatt klær",5,13.929,"Produksjon av andre tekstilvarer, unntatt klær",direkte SN2007,13,false,false,false,
Sortering og bearbeiding av avfall for materialgjenvinning,false,,6,2022-09-14,2024-09-24,6,0,SN2007,T1,SN2007,38.320,Sortering og bearbeiding av avfall for materialgjenvinning,5,38.320,Sortering og bearbeiding av avfall for materialgjenvinning,direkte SN2007,38,false,false,false,
Engroshandel med andre næringsmidler,false,,6,2025-12-16,2026-07-31,0,6,SN2025,T2,SN2025,46.380,Engroshandel med andre næringsmidler,5,46.389,Engroshandel med spesialisert utvalg av nærings- og nytelsesmidler ikke nevnt annet sted,korrespondanse 1:1,46,false,false,false,
Trafikkskoleundervisning,false,,6,2022-10-07,2025-08-14,6,0,SN2007,T1,SN2007,85.530,Trafikkskoleundervisning,5,85.530,Trafikkskoleundervisning,direkte SN2007,85,false,false,false,
Detaljhandel med spill og leker,false,,6,2025-10-14,2026-07-16,0,6,SN2025,T2,SN2025,47.640,Detaljhandel med spill og leker,5,47.650|47.890|47.919|47.990,Butikkhandel med spill og leker | Torghandel med andre varer | Postordre-/Internetthandel med annet spesialisert vareutvalg | Detaljhandel utenom utsalgssted ellers,korrespondanse 1:n,47,false,false,false,
Engroshandel med elektriske husholdningsapparater og -maskin,false,,6,2020-10-26,2025-06-06,6,0,SN2007,T1,SN2007,46.431,Engroshandel med elektriske husholdningsapparater og -maskiner,5,46.431,Engroshandel med elektriske husholdningsapparater og -maskiner,direkte SN2007,46,false,false,false,
Geologiske undersøkelser,false,,6,2024-09-04,2025-07-25,6,0,SN2007,T1,SN2007,71.122,Geologiske undersøkelser,5,71.122,Geologiske undersøkelser,direkte SN2007,71,false,false,false,
Fritidsvirksomhet ellers,false,,6,2023-07-05,2026-07-23,1,5,begge,T1,SN2007,93.299,Fritidsvirksomhet ellers,5,93.299,Fritidsvirksomhet ellers,direkte SN2007,93,false,false,false,
"Aktiviteter i dagspa, badstue og dampbad",false,,6,2025-10-14,2026-05-13,0,6,SN2025,T2,SN2025,96.230,"Aktiviteter i dagspa, badstue og dampbad",5,96.040,Virksomhet knyttet til kroppspleie og fysisk velvære,korrespondanse 1:1,96,false,false,false,
Kantiner drevet som selvstendig virksomhet,false,,6,2023-08-16,2025-04-24,6,0,SN2007,T1,SN2007,56.290,Kantiner drevet som selvstendig virksomhet,5,56.290,Kantiner drevet som selvstendig virksomhet,direkte SN2007,56,false,false,false,
Skogskjøtsel og andre skogbruksaktiviteter,false,,6,2023-07-24,2026-05-19,4,2,begge,T1,SN2007,02.100,Skogskjøtsel og andre skogbruksaktiviteter,5,02.100,Skogskjøtsel og andre skogbruksaktiviteter,direkte SN2007,02,false,false,false,
Reparasjon av andre husholdningsvarer og varer til personlig,false,,6,2023-04-19,2025-06-06,6,0,SN2007,T1,SN2007,95.290,Reparasjon av andre husholdningsvarer og varer til personlig bruk,5,95.290,Reparasjon av andre husholdningsvarer og varer til personlig bruk,direkte SN2007,95,false,false,false,
Telekommunikasjon ellers,false,,6,2023-12-12,2025-01-10,6,0,SN2007,T1,SN2007,61.900,Telekommunikasjon ellers,5,61.900,Telekommunikasjon ellers,direkte SN2007,61,false,false,false,
"Leasing av immateriell eiendom og lignende produkter, unntat",false,,6,2024-08-16,2026-06-16,3,3,begge,T1,SN2007,77.400,"Leasing av immateriell eiendom og lignende produkter, unntatt opphavsrettsbeskyttede verker",5,77.400,"Leasing av immateriell eiendom og lignende produkter, unntatt opphavsrettsbeskyttede verker",direkte SN2007,77,false,false,false,
Undervisning innenfor idrett og rekreasjon,false,,6,2025-09-22,2026-08-17,0,6,SN2025,T2,SN2025,85.510,Undervisning innenfor idrett og rekreasjon,5,85.510,Undervisning innen idrett og rekreasjon,korrespondanse 1:1,85,false,false,false,
Handel med elektrisitet,false,,6,2023-05-30,2026-08-24,4,2,begge,T1,SN2007,35.140,Handel med elektrisitet,5,35.140,Handel med elektrisitet,direkte SN2007,35,false,false,false,
"Engroshandel med husholdnings-, kontor- og butikkmøbler, gul",false,,6,2025-09-16,2026-07-27,0,6,SN2025,T2,SN2025,46.470,"Engroshandel med husholdnings-, kontor- og butikkmøbler, gulvtepper og belysningsutstyr",5,46.471|46.472|46.473|46.650,Engroshandel med møbler | Engroshandel med gulvtepper | Engroshandel med belysningsutstyr | Engroshandel med kontormøbler,korrespondanse 1:n,46,false,false,false,
"Agentur- og engroshandel med biler og lette motorvogner, unn",false,,6,2022-10-05,2025-06-11,6,0,SN2007,T1,SN2007,45.111,"Agentur- og engroshandel med biler og lette motorvogner, unntatt motorsykler",5,45.111,"Agentur- og engroshandel med biler og lette motorvogner, unntatt motorsykler",direkte SN2007,45,false,false,false,
"Saging, høvling og impregnering av tre",false,,6,2023-05-16,2025-01-28,6,0,SN2007,T1,SN2007,16.100,"Saging, høvling og impregnering av tre",5,16.100,"Saging, høvling og impregnering av tre",direkte SN2007,16,false,false,false,
Forsikringsformidling,false,,6,2022-05-18,2025-01-21,6,0,SN2007,T1,SN2007,66.220,Forsikringsformidling,5,66.220,Forsikringsformidling,direkte SN2007,66,false,false,false,
Pr og kommunikasjonstjenester,false,,6,2025-10-24,2026-08-20,0,6,SN2025,T5,SN2025,73.300,PR og kommunikasjonstjenester,5,70.210,PR og kommunikasjonstjenester,korrespondanse 1:1,70,false,false,false,
"Agentur- og engroshandel med andre motorvogner, unntatt moto",false,,5,2024-07-03,2025-06-25,5,0,SN2007,T1,SN2007,45.191,"Agentur- og engroshandel med andre motorvogner, unntatt motorsykler",5,45.191,"Agentur- og engroshandel med andre motorvogner, unntatt motorsykler",direkte SN2007,45,false,false,false,
"Aktiviteter innenfor tradisjonell, komplementær og alternati",false,,5,2026-01-22,2026-08-05,0,5,SN2025,T2,SN2025,86.960,"Aktiviteter innenfor tradisjonell, komplementær og alternativ medisin",5,86.909,Andre helsetjenester,korrespondanse 1:1,86,false,false,false,
Allmenn legetjeneste,false,,5,2024-03-11,2025-07-14,5,0,SN2007,T1,SN2007,86.211,Allmenn legetjeneste,5,86.211,Allmenn legetjeneste,direkte SN2007,86,false,false,false,
Andre personlige tjenester ikke nevnt annet sted,false,,5,2025-09-15,2026-06-30,0,5,SN2025,T2,SN2025,96.990,Andre personlige tjenester ikke nevnt annet sted,5,96.090,Personlig tjenesteyting ikke nevnt annet sted,korrespondanse 1:1,96,false,false,false,
Andre tjenester tilknyttet finansieringsvirksomhet,false,,5,2023-03-16,2024-10-18,5,0,SN2007,T1,SN2007,66.190,Andre tjenester tilknyttet finansieringsvirksomhet,5,66.190,Andre tjenester tilknyttet finansieringsvirksomhet,direkte SN2007,66,false,false,false,
Andre tjenester tilknyttet forsikringsvirksomhet og pensjons,false,,5,2020-03-12,2024-03-04,5,0,SN2007,T1,SN2007,66.290,Andre tjenester tilknyttet forsikringsvirksomhet og pensjonskasser,5,66.290,Andre tjenester tilknyttet forsikringsvirksomhet og pensjonskasser,direkte SN2007,66,false,false,false,
Andre tjenester tilknyttet informasjonsteknologi,false,,5,2023-02-07,2026-05-06,4,1,begge,T1,SN2007,62.090,Andre tjenester tilknyttet informasjonsteknologi,5,62.090,Andre tjenester tilknyttet informasjonsteknologi,direkte SN2007,62,false,false,false,
